O*NET-SOC_Code,Title,Element_ID,Element_Name,Data_Value
11-3012.00,Administrative Services Managers,1.C.6,Independence,4.11
11-3012.00,Administrative Services Managers,1.C.7.a,Innovation,3.85
11-3012.00,Administrative Services Managers,1.C.7.b,Analytical Thinking,4.04
11-3021.00,Computer and Information Systems Managers,1.C.1.a,Achievement/Effort,3.91
11-3021.00,Computer and Information Systems Managers,1.C.1.b,Persistence,4.03
11-3021.00,Computer and Information Systems Managers,1.C.1.c,Initiative,4.36
11-3021.00,Computer and Information Systems Managers,1.C.2.b,Leadership,4.15
11-3021.00,Computer and Information Systems Managers,1.C.3.a,Cooperation,4.33
11-3021.00,Computer and Information Systems Managers,1.C.3.b,Concern for Others,3.71
11-3021.00,Computer and Information Systems Managers,1.C.3.c,Social Orientation,3.69
11-3021.00,Computer and Information Systems Managers,1.C.4.a,Self Control,4.1
11-3021.00,Computer and Information Systems Managers,1.C.4.b,Stress Tolerance,4.16
11-3021.00,Computer and Information Systems Managers,1.C.4.c,Adaptability/Flexibility,4.19
11-3021.00,Computer and Information Systems Managers,1.C.5.a,Dependability,4.54
11-3021.00,Computer and Information Systems Managers,1.C.5.b,Attention to Detail,4.67
11-3021.00,Computer and Information Systems Managers,1.C.5.c,Integrity,4.67
11-3021.00,Computer and Information Systems Managers,1.C.6,Independence,3.8
11-3021.00,Computer and Information Systems Managers,1.C.7.a,Innovation,3.7
11-3021.00,Computer and Information Systems Managers,1.C.7.b,Analytical Thinking,4.25
11-3031.00,Financial Managers,1.C.1.a,Achievement/Effort,4.42
11-3031.00,Financial Managers,1.C.1.b,Persistence,4.42
11-3031.00,Financial Managers,1.C.1.c,Initiative,4.28
11-3031.00,Financial Managers,1.C.2.b,Leadership,4.4
11-3031.00,Financial Managers,1.C.3.a,Cooperation,4.19
11-3031.00,Financial Managers,1.C.3.b,Concern for Others,3.71
11-3031.00,Financial Managers,1.C.3.c,Social Orientation,3.62
11-3031.00,Financial Managers,1.C.4.a,Self Control,4.18
11-3031.00,Financial Managers,1.C.4.b,Stress Tolerance,4.23
11-3031.00,Financial Managers,1.C.4.c,Adaptability/Flexibility,4.31
11-3031.00,Financial Managers,1.C.5.a,Dependability,4.71
11-3031.00,Financial Managers,1.C.5.b,Attention to Detail,4.64
11-3031.00,Financial Managers,1.C.5.c,Integrity,4.73
11-3031.00,Financial Managers,1.C.6,Independence,3.72
11-3031.00,Financial Managers,1.C.7.a,Innovation,3.33
11-3031.00,Financial Managers,1.C.7.b,Analytical Thinking,3.87
11-3031.01,Treasurers and Controllers,1.C.1.a,Achievement/Effort,4.32
11-3031.01,Treasurers and Controllers,1.C.1.b,Persistence,4.52
11-3031.01,Treasurers and Controllers,1.C.1.c,Initiative,4.48
11-3031.01,Treasurers and Controllers,1.C.2.b,Leadership,4.36
11-3031.01,Treasurers and Controllers,1.C.3.a,Cooperation,4.32
11-3031.01,Treasurers and Controllers,1.C.3.b,Concern for Others,3.64
11-3031.01,Treasurers and Controllers,1.C.3.c,Social Orientation,3.52
11-3031.01,Treasurers and Controllers,1.C.4.a,Self Control,4.2
11-3031.01,Treasurers and Controllers,1.C.4.b,Stress Tolerance,4.52
11-3031.01,Treasurers and Controllers,1.C.4.c,Adaptability/Flexibility,4.4
11-3031.01,Treasurers and Controllers,1.C.5.a,Dependability,4.76
11-3031.01,Treasurers and Controllers,1.C.5.b,Attention to Detail,4.83
11-3031.01,Treasurers and Controllers,1.C.5.c,Integrity,5
11-3031.01,Treasurers and Controllers,1.C.6,Independence,4.08
11-3031.01,Treasurers and Controllers,1.C.7.a,Innovation,3.71
11-3031.01,Treasurers and Controllers,1.C.7.b,Analytical Thinking,4.62
11-3031.03,Investment Fund Managers,1.C.1.a,Achievement/Effort,4.56
11-3031.03,Investment Fund Managers,1.C.1.b,Persistence,4.52
11-3031.03,Investment Fund Managers,1.C.1.c,Initiative,4.49
11-3031.03,Investment Fund Managers,1.C.2.b,Leadership,3.99
11-3031.03,Investment Fund Managers,1.C.3.a,Cooperation,4.15
11-3031.03,Investment Fund Managers,1.C.3.b,Concern for Others,3.04
11-3031.03,Investment Fund Managers,1.C.3.c,Social Orientation,3.08
11-3031.03,Investment Fund Managers,1.C.4.a,Self Control,4.06
11-3031.03,Investment Fund Managers,1.C.4.b,Stress Tolerance,4.61
11-3031.03,Investment Fund Managers,1.C.4.c,Adaptability/Flexibility,3.75
11-3031.03,Investment Fund Managers,1.C.5.a,Dependability,4.5
11-3031.03,Investment Fund Managers,1.C.5.b,Attention to Detail,4.39
11-3031.03,Investment Fund Managers,1.C.5.c,Integrity,4.92
11-3031.03,Investment Fund Managers,1.C.6,Independence,3.7
11-3031.03,Investment Fund Managers,1.C.7.a,Innovation,3.35
11-3031.03,Investment Fund Managers,1.C.7.b,Analytical Thinking,4.79
11-3051.00,Industrial Production Managers,1.C.1.a,Achievement/Effort,4.12
11-3051.00,Industrial Production Managers,1.C.1.b,Persistence,4.19
11-3051.00,Industrial Production Managers,1.C.1.c,Initiative,4.31
11-3051.00,Industrial Production Managers,1.C.2.b,Leadership,4.49
11-3051.00,Industrial Production Managers,1.C.3.a,Cooperation,4.29
11-3051.00,Industrial Production Managers,1.C.3.b,Concern for Others,4.1
11-3051.00,Industrial Production Managers,1.C.3.c,Social Orientation,3.61
11-3051.00,Industrial Production Managers,1.C.4.a,Self Control,4.28
11-3051.00,Industrial Production Managers,1.C.4.b,Stress Tolerance,4.25
11-3051.00,Industrial Production Managers,1.C.4.c,Adaptability/Flexibility,4.34
11-3051.00,Industrial Production Managers,1.C.5.a,Dependability,4.43
11-3051.00,Industrial Production Managers,1.C.5.b,Attention to Detail,4.72
11-3051.00,Industrial Production Managers,1.C.5.c,Integrity,4.48
11-3051.00,Industrial Production Managers,1.C.6,Independence,4.04
11-3051.00,Industrial Production Managers,1.C.7.a,Innovation,3.75
11-3051.00,Industrial Production Managers,1.C.7.b,Analytical Thinking,4.09
11-3051.01,Quality Control Systems Managers,1.C.1.a,Achievement/Effort,4.05
11-3051.01,Quality Control Systems Managers,1.C.1.b,Persistence,4.08
11-3051.01,Quality Control Systems Managers,1.C.1.c,Initiative,4.3
11-3051.01,Quality Control Systems Managers,1.C.2.b,Leadership,4.2
11-3051.01,Quality Control Systems Managers,1.C.3.a,Cooperation,4.08
11-3051.01,Quality Control Systems Managers,1.C.3.b,Concern for Others,3.64
11-3051.01,Quality Control Systems Managers,1.C.3.c,Social Orientation,3.44
11-3051.01,Quality Control Systems Managers,1.C.4.a,Self Control,4.08
11-3051.01,Quality Control Systems Managers,1.C.4.b,Stress Tolerance,4.58
11-3051.01,Quality Control Systems Managers,1.C.4.c,Adaptability/Flexibility,4.02
11-3051.01,Quality Control Systems Managers,1.C.5.a,Dependability,4.63
11-3051.01,Quality Control Systems Managers,1.C.5.b,Attention to Detail,4.74
11-3051.01,Quality Control Systems Managers,1.C.5.c,Integrity,4.56
11-3051.01,Quality Control Systems Managers,1.C.6,Independence,4.11
11-3051.01,Quality Control Systems Managers,1.C.7.a,Innovation,3.84
11-3051.01,Quality Control Systems Managers,1.C.7.b,Analytical Thinking,4.64
11-3051.02,Geothermal Production Managers,1.C.1.a,Achievement/Effort,4.14
11-3051.02,Geothermal Production Managers,1.C.1.b,Persistence,3.95
11-3051.02,Geothermal Production Managers,1.C.1.c,Initiative,4.21
11-3051.02,Geothermal Production Managers,1.C.2.b,Leadership,4.48
11-3051.02,Geothermal Production Managers,1.C.3.a,Cooperation,4.29
11-3051.02,Geothermal Production Managers,1.C.3.b,Concern for Others,4.06
11-3051.02,Geothermal Production Managers,1.C.3.c,Social Orientation,3.81
11-3051.02,Geothermal Production Managers,1.C.4.a,Self Control,4.15
11-3051.02,Geothermal Production Managers,1.C.4.b,Stress Tolerance,4.38
11-3051.02,Geothermal Production Managers,1.C.4.c,Adaptability/Flexibility,4.13
11-3051.02,Geothermal Production Managers,1.C.5.a,Dependability,4.46
11-3051.02,Geothermal Production Managers,1.C.5.b,Attention to Detail,4.41
11-3051.02,Geothermal Production Managers,1.C.5.c,Integrity,4.57
11-3051.02,Geothermal Production Managers,1.C.6,Independence,3.8
11-3051.02,Geothermal Production Managers,1.C.7.a,Innovation,4.35
11-3051.02,Geothermal Production Managers,1.C.7.b,Analytical Thinking,4.41
11-3051.03,Biofuels Production Managers,1.C.1.a,Achievement/Effort,3.82
11-3051.03,Biofuels Production Managers,1.C.1.b,Persistence,4
11-3051.03,Biofuels Production Managers,1.C.1.c,Initiative,4.37
11-3051.03,Biofuels Production Managers,1.C.2.b,Leadership,4.46
11-3051.03,Biofuels Production Managers,1.C.3.a,Cooperation,4.15
11-3051.03,Biofuels Production Managers,1.C.3.b,Concern for Others,3.66
11-3051.03,Biofuels Production Managers,1.C.3.c,Social Orientation,3.28
11-3051.03,Biofuels Production Managers,1.C.4.a,Self Control,4.06
11-3051.03,Biofuels Production Managers,1.C.4.b,Stress Tolerance,4.09
11-3051.03,Biofuels Production Managers,1.C.4.c,Adaptability/Flexibility,4.16
11-3051.03,Biofuels Production Managers,1.C.5.a,Dependability,4.67
11-3051.03,Biofuels Production Managers,1.C.5.b,Attention to Detail,4.52
11-3051.03,Biofuels Production Managers,1.C.5.c,Integrity,4.32
11-3051.03,Biofuels Production Managers,1.C.6,Independence,3.83
11-3051.03,Biofuels Production Managers,1.C.7.a,Innovation,4.06
11-3051.03,Biofuels Production Managers,1.C.7.b,Analytical Thinking,4.29
11-3051.04,Biomass Power Plant Managers,1.C.1.a,Achievement/Effort,4.16
11-3051.04,Biomass Power Plant Managers,1.C.1.b,Persistence,3.98
11-3051.04,Biomass Power Plant Managers,1.C.1.c,Initiative,4.33
11-3051.04,Biomass Power Plant Managers,1.C.2.b,Leadership,4.2
11-3051.04,Biomass Power Plant Managers,1.C.3.a,Cooperation,4.31
11-3051.04,Biomass Power Plant Managers,1.C.3.b,Concern for Others,4.13
11-3051.04,Biomass Power Plant Managers,1.C.3.c,Social Orientation,3
11-3051.04,Biomass Power Plant Managers,1.C.4.a,Self Control,4.03
11-3051.04,Biomass Power Plant Managers,1.C.4.b,Stress Tolerance,4.62
11-3051.04,Biomass Power Plant Managers,1.C.4.c,Adaptability/Flexibility,4.02
11-3051.04,Biomass Power Plant Managers,1.C.5.a,Dependability,4.36
11-3051.04,Biomass Power Plant Managers,1.C.5.b,Attention to Detail,4.07
11-3051.04,Biomass Power Plant Managers,1.C.5.c,Integrity,4.48
11-3051.04,Biomass Power Plant Managers,1.C.6,Independence,3.92
11-3051.04,Biomass Power Plant Managers,1.C.7.a,Innovation,3.51
11-3051.04,Biomass Power Plant Managers,1.C.7.b,Analytical Thinking,4.08
11-3051.06,Hydroelectric Production Managers,1.C.1.a,Achievement/Effort,3.81
11-3051.06,Hydroelectric Production Managers,1.C.1.b,Persistence,3.89
11-3051.06,Hydroelectric Production Managers,1.C.1.c,Initiative,4.13
11-3051.06,Hydroelectric Production Managers,1.C.2.b,Leadership,4.53
11-3051.06,Hydroelectric Production Managers,1.C.3.a,Cooperation,4.2
11-3051.06,Hydroelectric Production Managers,1.C.3.b,Concern for Others,3.58
11-3051.06,Hydroelectric Production Managers,1.C.3.c,Social Orientation,3.12
11-3051.06,Hydroelectric Production Managers,1.C.4.a,Self Control,4.02
11-3051.06,Hydroelectric Production Managers,1.C.4.b,Stress Tolerance,4.12
11-3051.06,Hydroelectric Production Managers,1.C.4.c,Adaptability/Flexibility,3.79
11-3051.06,Hydroelectric Production Managers,1.C.5.a,Dependability,4.53
11-3051.06,Hydroelectric Production Managers,1.C.5.b,Attention to Detail,4.47
11-3051.06,Hydroelectric Production Managers,1.C.5.c,Integrity,4.34
11-3051.06,Hydroelectric Production Managers,1.C.6,Independence,4.19
11-3051.06,Hydroelectric Production Managers,1.C.7.a,Innovation,3.68
11-3051.06,Hydroelectric Production Managers,1.C.7.b,Analytical Thinking,4.19
11-3061.00,Purchasing Managers,1.C.1.a,Achievement/Effort,3.95
11-3061.00,Purchasing Managers,1.C.1.b,Persistence,4
11-3061.00,Purchasing Managers,1.C.1.c,Initiative,4.19
11-3061.00,Purchasing Managers,1.C.2.b,Leadership,4.33
11-3061.00,Purchasing Managers,1.C.3.a,Cooperation,4.33
11-3061.00,Purchasing Managers,1.C.3.b,Concern for Others,3.81
11-3061.00,Purchasing Managers,1.C.3.c,Social Orientation,3.43
11-3061.00,Purchasing Managers,1.C.4.a,Self Control,4.24
11-3061.00,Purchasing Managers,1.C.4.b,Stress Tolerance,4.05
11-3061.00,Purchasing Managers,1.C.4.c,Adaptability/Flexibility,4.05
11-3061.00,Purchasing Managers,1.C.5.a,Dependability,4.25
11-3061.00,Purchasing Managers,1.C.5.b,Attention to Detail,4.38
11-3061.00,Purchasing Managers,1.C.5.c,Integrity,4.81
11-3061.00,Purchasing Managers,1.C.6,Independence,4
11-3061.00,Purchasing Managers,1.C.7.a,Innovation,3.67
11-3061.00,Purchasing Managers,1.C.7.b,Analytical Thinking,4.29
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.1.a,Achievement/Effort,3.9
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.1.b,Persistence,4.07
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.1.c,Initiative,4.21
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.2.b,Leadership,4.41
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.3.a,Cooperation,4.25
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.3.b,Concern for Others,3.71
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.3.c,Social Orientation,3.53
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.4.a,Self Control,4.25
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.4.b,Stress Tolerance,4.4
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.4.c,Adaptability/Flexibility,4.21
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.5.a,Dependability,4.54
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.5.b,Attention to Detail,4.28
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.5.c,Integrity,4.5
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.6,Independence,3.8
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.7.a,Innovation,3.74
11-3071.00,"Transportation, Storage, and Distribution Managers",1.C.7.b,Analytical Thinking,4.07
11-3071.04,Supply Chain Managers,1.C.1.a,Achievement/Effort,4
11-3071.04,Supply Chain Managers,1.C.1.b,Persistence,4.1
11-3071.04,Supply Chain Managers,1.C.1.c,Initiative,4.24
11-3071.04,Supply Chain Managers,1.C.2.b,Leadership,4.52
11-3071.04,Supply Chain Managers,1.C.3.a,Cooperation,4.38
11-3071.04,Supply Chain Managers,1.C.3.b,Concern for Others,3.67
11-3071.04,Supply Chain Managers,1.C.3.c,Social Orientation,3.29
11-3071.04,Supply Chain Managers,1.C.4.a,Self Control,3.95
11-3071.04,Supply Chain Managers,1.C.4.b,Stress Tolerance,4.19
11-3071.04,Supply Chain Managers,1.C.4.c,Adaptability/Flexibility,4.14
11-3071.04,Supply Chain Managers,1.C.5.a,Dependability,4.3
11-3071.04,Supply Chain Managers,1.C.5.b,Attention to Detail,4.48
11-3071.04,Supply Chain Managers,1.C.5.c,Integrity,4.48
11-3071.04,Supply Chain Managers,1.C.6,Independence,3.71
11-3071.04,Supply Chain Managers,1.C.7.a,Innovation,3.9
11-3071.04,Supply Chain Managers,1.C.7.b,Analytical Thinking,4.33
11-3111.00,Compensation and Benefits Managers,1.C.1.a,Achievement/Effort,3.86
11-3111.00,Compensation and Benefits Managers,1.C.1.b,Persistence,3.86
11-3111.00,Compensation and Benefits Managers,1.C.1.c,Initiative,4.14
11-3111.00,Compensation and Benefits Managers,1.C.2.b,Leadership,3.95
11-3111.00,Compensation and Benefits Managers,1.C.3.a,Cooperation,3.95
11-3111.00,Compensation and Benefits Managers,1.C.3.b,Concern for Others,3.9
11-3111.00,Compensation and Benefits Managers,1.C.3.c,Social Orientation,3.43
11-3111.00,Compensation and Benefits Managers,1.C.4.a,Self Control,4.14
11-3111.00,Compensation and Benefits Managers,1.C.4.b,Stress Tolerance,4
11-3111.00,Compensation and Benefits Managers,1.C.4.c,Adaptability/Flexibility,3.86
11-3111.00,Compensation and Benefits Managers,1.C.5.a,Dependability,4.38
11-3111.00,Compensation and Benefits Managers,1.C.5.b,Attention to Detail,4.71
11-3111.00,Compensation and Benefits Managers,1.C.5.c,Integrity,4.86
11-3111.00,Compensation and Benefits Managers,1.C.6,Independence,3.38
11-3111.00,Compensation and Benefits Managers,1.C.7.a,Innovation,3.62
11-3111.00,Compensation and Benefits Managers,1.C.7.b,Analytical Thinking,4.57
11-3121.00,Human Resources Managers,1.C.1.a,Achievement/Effort,4.08
11-3121.00,Human Resources Managers,1.C.1.b,Persistence,4.38
11-3121.00,Human Resources Managers,1.C.1.c,Initiative,4.54
11-3121.00,Human Resources Managers,1.C.2.b,Leadership,4.62
11-3121.00,Human Resources Managers,1.C.3.a,Cooperation,4.54
11-3121.00,Human Resources Managers,1.C.3.b,Concern for Others,4.38
11-3121.00,Human Resources Managers,1.C.3.c,Social Orientation,3.92
11-3121.00,Human Resources Managers,1.C.4.a,Self Control,4.71
11-3121.00,Human Resources Managers,1.C.4.b,Stress Tolerance,4.5
11-3121.00,Human Resources Managers,1.C.4.c,Adaptability/Flexibility,4.33
11-3121.00,Human Resources Managers,1.C.5.a,Dependability,4.58
11-3121.00,Human Resources Managers,1.C.5.b,Attention to Detail,4.08
11-3121.00,Human Resources Managers,1.C.5.c,Integrity,4.88
11-3121.00,Human Resources Managers,1.C.6,Independence,3.79
11-3121.00,Human Resources Managers,1.C.7.a,Innovation,3.58
11-3121.00,Human Resources Managers,1.C.7.b,Analytical Thinking,4.12
11-3131.00,Training and Development Managers,1.C.1.a,Achievement/Effort,4.22
11-3131.00,Training and Development Managers,1.C.1.b,Persistence,4.11
11-3131.00,Training and Development Managers,1.C.1.c,Initiative,4.59
11-3131.00,Training and Development Managers,1.C.2.b,Leadership,4.63
11-3131.00,Training and Development Managers,1.C.3.a,Cooperation,4.37
11-3131.00,Training and Development Managers,1.C.3.b,Concern for Others,4.15
11-3131.00,Training and Development Managers,1.C.3.c,Social Orientation,4.19
11-3131.00,Training and Development Managers,1.C.4.a,Self Control,4.41
11-3131.00,Training and Development Managers,1.C.4.b,Stress Tolerance,4.19
11-3131.00,Training and Development Managers,1.C.4.c,Adaptability/Flexibility,4.52
11-3131.00,Training and Development Managers,1.C.5.a,Dependability,4.56
11-3131.00,Training and Development Managers,1.C.5.b,Attention to Detail,4.19
11-3131.00,Training and Development Managers,1.C.5.c,Integrity,4.67
11-3131.00,Training and Development Managers,1.C.6,Independence,3.65
11-3131.00,Training and Development Managers,1.C.7.a,Innovation,3.67
11-3131.00,Training and Development Managers,1.C.7.b,Analytical Thinking,3.89
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.1.a,Achievement/Effort,3.97
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.1.b,Persistence,4.08
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.1.c,Initiative,4.21
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.2.b,Leadership,4.18
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.3.a,Cooperation,4.01
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.3.b,Concern for Others,3.69
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.3.c,Social Orientation,3.2
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.4.a,Self Control,3.94
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.4.b,Stress Tolerance,3.75
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.4.c,Adaptability/Flexibility,3.98
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.5.a,Dependability,4.53
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.C.5.b,Attention to Detail,4.18
