SOC,Title,Element_ID,Element_Name,Category,Description,Data_Value
11-3012.00,"Administrative Services Managers",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",0.06
11-3012.00,"Administrative Services Managers",2.D.1,"Required Level of Education",11,"Doctoral Degree",0.06
11-3021.00,"Computer and Information Systems Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",1.26
11-3021.00,"Computer and Information Systems Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",5.77
11-3021.00,"Computer and Information Systems Managers",2.D.1,"Required Level of Education",4,"Some College Courses",25.96
11-3021.00,"Computer and Information Systems Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",2.16
11-3021.00,"Computer and Information Systems Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",47.68
11-3021.00,"Computer and Information Systems Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",2.8
11-3021.00,"Computer and Information Systems Managers",2.D.1,"Required Level of Education",8,"Master's Degree",14.36
11-3031.01,"Treasurers and Controllers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",4
11-3031.01,"Treasurers and Controllers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",56
11-3031.01,"Treasurers and Controllers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",4
11-3031.01,"Treasurers and Controllers",2.D.1,"Required Level of Education",8,"Master's Degree",32
11-3031.01,"Treasurers and Controllers",2.D.1,"Required Level of Education",10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",4
11-3031.03,"Investment Fund Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",32.66
11-3031.03,"Investment Fund Managers",2.D.1,"Required Level of Education",8,"Master's Degree",63.33
11-3031.03,"Investment Fund Managers",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",2.01
11-3031.03,"Investment Fund Managers",2.D.1,"Required Level of Education",10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",2.01
11-3051.00,"Industrial Production Managers",2.D.1,"Required Level of Education",1,"Less than a High School Diploma",5.26
11-3051.00,"Industrial Production Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",29.42
11-3051.00,"Industrial Production Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",16.21
11-3051.00,"Industrial Production Managers",2.D.1,"Required Level of Education",4,"Some College Courses",11.51
11-3051.00,"Industrial Production Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",8.1
11-3051.00,"Industrial Production Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",25.8
11-3051.00,"Industrial Production Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",2.45
11-3051.00,"Industrial Production Managers",2.D.1,"Required Level of Education",8,"Master's Degree",1.24
11-3051.01,"Quality Control Systems Managers",2.D.1,"Required Level of Education",4,"Some College Courses",10.81
11-3051.01,"Quality Control Systems Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",1.12
11-3051.01,"Quality Control Systems Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",73.33
11-3051.01,"Quality Control Systems Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",3.75
11-3051.01,"Quality Control Systems Managers",2.D.1,"Required Level of Education",8,"Master's Degree",10.99
11-3051.02,"Geothermal Production Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",11.15
11-3051.02,"Geothermal Production Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",18.91
11-3051.02,"Geothermal Production Managers",2.D.1,"Required Level of Education",4,"Some College Courses",47.61
11-3051.02,"Geothermal Production Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",2.72
11-3051.02,"Geothermal Production Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",14.61
11-3051.02,"Geothermal Production Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",4.99
11-3051.03,"Biofuels Production Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",14
11-3051.03,"Biofuels Production Managers",2.D.1,"Required Level of Education",4,"Some College Courses",19.13
11-3051.03,"Biofuels Production Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",14.83
11-3051.03,"Biofuels Production Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",45.44
11-3051.03,"Biofuels Production Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",6.6
11-3051.04,"Biomass Power Plant Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",6.83
11-3051.04,"Biomass Power Plant Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",13.23
11-3051.04,"Biomass Power Plant Managers",2.D.1,"Required Level of Education",4,"Some College Courses",1.75
11-3051.04,"Biomass Power Plant Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",16.7
11-3051.04,"Biomass Power Plant Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",61.49
11-3051.06,"Hydroelectric Production Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",13.59
11-3051.06,"Hydroelectric Production Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",28.95
11-3051.06,"Hydroelectric Production Managers",2.D.1,"Required Level of Education",4,"Some College Courses",14.08
11-3051.06,"Hydroelectric Production Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",21.28
11-3051.06,"Hydroelectric Production Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",14.85
11-3051.06,"Hydroelectric Production Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",7.24
11-3061.00,"Purchasing Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",10
11-3061.00,"Purchasing Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",75
11-3061.00,"Purchasing Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",5
11-3061.00,"Purchasing Managers",2.D.1,"Required Level of Education",8,"Master's Degree",10
11-3071.04,"Supply Chain Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",4.76
11-3071.04,"Supply Chain Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",66.67
11-3071.04,"Supply Chain Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",9.52
11-3071.04,"Supply Chain Managers",2.D.1,"Required Level of Education",8,"Master's Degree",19.05
11-3111.00,"Compensation and Benefits Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",80.95
11-3111.00,"Compensation and Benefits Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",4.76
11-3111.00,"Compensation and Benefits Managers",2.D.1,"Required Level of Education",8,"Master's Degree",14.29
11-3121.00,"Human Resources Managers",2.D.1,"Required Level of Education",4,"Some College Courses",4.35
11-3121.00,"Human Resources Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",73.91
11-3121.00,"Human Resources Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",8.7
11-3121.00,"Human Resources Managers",2.D.1,"Required Level of Education",8,"Master's Degree",8.7
11-3121.00,"Human Resources Managers",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",4.35
11-3131.00,"Training and Development Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",3.7
11-3131.00,"Training and Development Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",3.7
11-3131.00,"Training and Development Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",51.85
11-3131.00,"Training and Development Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",14.81
11-3131.00,"Training and Development Managers",2.D.1,"Required Level of Education",8,"Master's Degree",18.52
11-3131.00,"Training and Development Managers",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",3.7
11-3131.00,"Training and Development Managers",2.D.1,"Required Level of Education",11,"Doctoral Degree",3.7
11-9021.00,"Construction Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",5
11-9021.00,"Construction Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",5
11-9021.00,"Construction Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",90
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",25.65
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",6.18
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.D.1,"Required Level of Education",4,"Some College Courses",19.7
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",31.95
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.D.1,"Required Level of Education",6,"Bachelor's Degree",10.33
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",5.97
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.D.1,"Required Level of Education",8,"Master's Degree",0.22
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",9.13
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.D.1,"Required Level of Education",6,"Bachelor's Degree",6.59
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",0.31
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.D.1,"Required Level of Education",8,"Master's Degree",37.06
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",43.56
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.D.1,"Required Level of Education",10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",3.22
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.D.1,"Required Level of Education",11,"Doctoral Degree",0.14
11-9033.00,"Education Administrators, Postsecondary",2.D.1,"Required Level of Education",6,"Bachelor's Degree",7.62
11-9033.00,"Education Administrators, Postsecondary",2.D.1,"Required Level of Education",8,"Master's Degree",47.94
11-9033.00,"Education Administrators, Postsecondary",2.D.1,"Required Level of Education",11,"Doctoral Degree",37.24
11-9033.00,"Education Administrators, Postsecondary",2.D.1,"Required Level of Education",12,"Post-Doctoral Training",7.2
11-9041.00,"Architectural and Engineering Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",1.15
11-9041.00,"Architectural and Engineering Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",45.52
11-9041.00,"Architectural and Engineering Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",1.15
11-9041.00,"Architectural and Engineering Managers",2.D.1,"Required Level of Education",8,"Master's Degree",27.04
11-9041.00,"Architectural and Engineering Managers",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",11.85
11-9041.00,"Architectural and Engineering Managers",2.D.1,"Required Level of Education",10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",12.15
11-9041.00,"Architectural and Engineering Managers",2.D.1,"Required Level of Education",11,"Doctoral Degree",1.15
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",1.33
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",4.77
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",5.82
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",55.44
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",1.24
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers",2.D.1,"Required Level of Education",8,"Master's Degree",28.62
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers",2.D.1,"Required Level of Education",11,"Doctoral Degree",1.33
11-9041.01,"Biofuels/Biodiesel Technology and Product Development Managers",2.D.1,"Required Level of Education",12,"Post-Doctoral Training",1.43
11-9051.00,"Food Service Managers",2.D.1,"Required Level of Education",1,"Less than a High School Diploma",15.37
11-9051.00,"Food Service Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",55.19
11-9051.00,"Food Service Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",4.83
11-9051.00,"Food Service Managers",2.D.1,"Required Level of Education",4,"Some College Courses",18.35
11-9051.00,"Food Service Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",0.71
11-9051.00,"Food Service Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",1.91
11-9051.00,"Food Service Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",3.63
11-9071.00,"Gambling Managers",2.D.1,"Required Level of Education",1,"Less than a High School Diploma",7.99
11-9071.00,"Gambling Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",34.91
11-9071.00,"Gambling Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",9.81
11-9071.00,"Gambling Managers",2.D.1,"Required Level of Education",4,"Some College Courses",7.02
11-9071.00,"Gambling Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",8.46
11-9071.00,"Gambling Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",31.81
11-9081.00,"Lodging Managers",2.D.1,"Required Level of Education",1,"Less than a High School Diploma",18.32
11-9081.00,"Lodging Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",1.15
11-9081.00,"Lodging Managers",2.D.1,"Required Level of Education",4,"Some College Courses",5.89
11-9081.00,"Lodging Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",3.05
11-9081.00,"Lodging Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",71.6
11-9111.00,"Medical and Health Services Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",19.23
11-9111.00,"Medical and Health Services Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",65.38
11-9111.00,"Medical and Health Services Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",3.85
11-9111.00,"Medical and Health Services Managers",2.D.1,"Required Level of Education",8,"Master's Degree",11.54
11-9121.00,"Natural Sciences Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",7.29
11-9121.00,"Natural Sciences Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",35.07
11-9121.00,"Natural Sciences Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",2.24
11-9121.00,"Natural Sciences Managers",2.D.1,"Required Level of Education",8,"Master's Degree",15.07
11-9121.00,"Natural Sciences Managers",2.D.1,"Required Level of Education",11,"Doctoral Degree",13.62
11-9121.00,"Natural Sciences Managers",2.D.1,"Required Level of Education",12,"Post-Doctoral Training",26.7
11-9121.01,"Clinical Research Coordinators",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",7.03
11-9121.01,"Clinical Research Coordinators",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",11.58
11-9121.01,"Clinical Research Coordinators",2.D.1,"Required Level of Education",4,"Some College Courses",9.24
11-9121.01,"Clinical Research Coordinators",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",5.92
11-9121.01,"Clinical Research Coordinators",2.D.1,"Required Level of Education",6,"Bachelor's Degree",60.13
11-9121.01,"Clinical Research Coordinators",2.D.1,"Required Level of Education",8,"Master's Degree",4.83
11-9121.01,"Clinical Research Coordinators",2.D.1,"Required Level of Education",11,"Doctoral Degree",1.27
11-9121.02,"Water Resource Specialists",2.D.1,"Required Level of Education",6,"Bachelor's Degree",50
11-9121.02,"Water Resource Specialists",2.D.1,"Required Level of Education",8,"Master's Degree",50
11-9131.00,"Postmasters and Mail Superintendents",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",62.1
11-9131.00,"Postmasters and Mail Superintendents",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",6.69
11-9131.00,"Postmasters and Mail Superintendents",2.D.1,"Required Level of Education",4,"Some College Courses",11.07
11-9131.00,"Postmasters and Mail Superintendents",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",6.69
11-9131.00,"Postmasters and Mail Superintendents",2.D.1,"Required Level of Education",6,"Bachelor's Degree",13.44
11-9141.00,"Property, Real Estate, and Community Association Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",15
11-9141.00,"Property, Real Estate, and Community Association Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",10
11-9141.00,"Property, Real Estate, and Community Association Managers",2.D.1,"Required Level of Education",4,"Some College Courses",5
11-9141.00,"Property, Real Estate, and Community Association Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",5
